,hakurei_reimu,kirisame_marisa,flandre_scarlet,komeiji_koishi,konpaku_youmu,izayoi_sakuya,remilia_scarlet,komeiji_satori,fujiwara_no_mokou,cirno,saigyouji_yuyuko,alice_margatroid,shameimaru_aya,kochiya_sanae,reisen_udongein_inaba,yakumo_yukari,patchouli_knowledge,hong_meiling,hata_no_kokoro,hinanawi_tenshi,rumia,moriya_suwako,tatara_kogasa,kazami_yuuka,shiki_eiki,junko_(touhou),ibuki_suika,inubashiri_momiji,yakumo_ran,houraisan_kaguya,reiuji_utsuho,yorigami_shion,toyosatomimi_no_miko,usami_renko,kijin_seija,mizuhashi_parsee,yagokoro_eirin,hecatia_lapislazuli,hieda_no_akyuu,mononobe_no_futo,kawashiro_nitori,toutetsu_yuuma,kagiyama_hina,kishin_sagume,matara_okina,ibaraki_kasen,kaenbyou_rin,maribel_hearn,hijiri_byakuren,kamishirasawa_keine,chen,mystia_lorelei,houjuu_nue,nazrin,iizunamaru_megumu,mima_(touhou),koakuma,doremy_sweet,tenkyuu_chimata,clownpiece,kudamaki_tsukasa,kaku_seiga,daiyousei,sekibanki,murasa_minamitsu,haniyasushin_keiki,shinki_(touhou),yorigami_jo'on,inaba_tewi,kicchou_yachie,wriggle_nightbug,motoori_kosuzu,futatsuiwa_mamizou,yasaka_kanako,nagae_iku,onozuka_komachi,morichika_rinnosuke,himekaidou_hatate,lily_white,hoshiguma_yuugi,yomotsu_hisami,usami_sumireko,niwatari_kutaka,imaizumi_kagerou,komano_aunn,soga_no_tojiko,nippaku_zanmu,okunoda_miyoi,sukuna_shinmyoumaru,lunasa_prismriver,letty_whiterock,miyako_yoshika,medicine_melancholy,okazaki_yumemi,horikawa_raiko,watatsuki_no_yorihime,tenkajin_chiyari,himemushi_momoyo,aki_minoriko,kurokoma_saki,aki_shizuha,gengetsu_(touhou),luna_child,wakasagihime,toramaru_shou,star_sapphire,seiran_(touhou),kurodani_yamame,joutouguu_mayumi,kasodani_kyouko,sunny_milk,teireida_mai,merlin_prismriver,hourai_doll,shanghai_doll,miyadeguchi_mizuchi,watatsuki_no_toyohime,mugetsu_(touhou),fortune_teller_(touhou),eternity_larva,kumoi_ichirin,goutokuji_mike,lyrica_prismriver,satsuki_rin,tsukumo_benben,tokiko_(touhou),nishida_satono,kana_anaberal,ringo_(touhou),sariel_(touhou),yatadera_narumi,yumeko_(touhou),tsukumo_yatsuhashi,yamashiro_takane,mitsugashira_enoko,son_biten,ebisu_eika,meira_(touhou),tamatsukuri_misumaru,elly_(touhou),kitashirakawa_chiyuri,kurumi_(touhou),mai_(touhou),konpaku_youki,ellen_(touhou),anxious_moustached_villager_(touhou),ushizaki_urumi,sakata_nemuno,kotohime_(touhou),konngara_(touhou),yuki_(touhou),elis_(touhou),unzan,kedama_(touhou),layla_prismriver,rika_(touhou),ruukoto,yuugenmagan,genjii_(touhou),asakura_rikako,louise_(touhou),fairy_maid_(touhou),sunflower_fairy_(touhou),zombie_fairy_(touhou),hisou_tensoku,orange_(touhou),mimi-chan,sara_(touhou),kikuri_(touhou)
hakurei_reimu,,3055,104,44,83,280,221,64,60,113,58,568,297,500,56,868,114,60,14,44,40,54,28,71,25,6,135,28,61,43,39,9,19,12,26,27,39,4,41,6,52,0,34,3,17,43,42,11,20,37,46,29,27,26,2,11,27,5,2,5,2,14,45,2,12,1,4,4,35,2,24,16,17,40,20,24,38,16,11,33,1,12,2,5,26,9,0,3,42,11,23,7,9,2,1,13,0,0,32,1,15,1,13,2,12,13,3,12,1,3,12,1,9,9,77,3,5,2,1,1,11,2,9,1,2,3,1,1,2,3,2,2,2,1,0,1,1,22,1,2,1,2,1,2,1,0,2,1,2,2,1,2,7,0,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1
kirisame_marisa,3055,,133,41,72,255,144,54,76,100,43,2369,122,159,51,144,403,72,5,25,27,45,16,63,26,4,69,33,36,42,31,3,9,9,13,37,34,6,14,5,95,0,15,4,22,9,34,8,13,41,37,32,13,18,0,26,50,1,1,4,1,6,35,1,11,1,12,2,30,3,23,5,5,30,20,27,40,13,12,28,0,5,2,3,12,5,0,1,23,12,12,6,11,2,1,4,0,0,16,1,14,1,16,4,10,13,3,11,1,4,14,1,9,29,279,0,3,2,1,1,6,1,10,1,2,2,1,1,2,2,13,3,2,1,0,0,1,3,1,2,1,1,1,2,1,0,1,1,2,2,1,1,4,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1
flandre_scarlet,104,133,,194,37,226,631,47,36,67,22,74,31,26,25,32,145,191,5,12,38,26,12,29,16,2,26,11,20,21,13,2,7,7,6,11,16,1,4,3,26,9,9,1,15,3,16,6,9,20,24,15,17,11,0,6,87,1,1,1,1,3,18,1,9,1,2,1,23,1,15,1,2,14,13,15,17,8,8,10,0,2,2,1,1,4,0,0,3,10,8,3,10,2,1,3,2,0,9,1,9,2,7,1,8,6,3,11,1,3,10,2,7,2,23,0,3,2,1,1,4,1,7,2,1,2,2,1,1,2,3,1,1,0,0,0,1,1,0,2,1,1,1,2,1,0,1,1,1,2,1,1,4,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
komeiji_koishi,44,41,194,,27,42,52,498,23,24,16,27,28,21,20,23,23,24,128,14,8,17,14,16,14,2,16,15,18,12,80,2,8,8,8,35,14,2,4,3,13,0,16,1,2,3,94,6,15,13,19,13,26,11,0,4,11,2,1,2,1,6,12,1,17,1,2,4,18,1,15,1,5,11,10,12,9,10,7,35,0,2,2,2,1,6,0,0,4,7,6,6,7,2,1,3,0,0,7,1,7,1,5,2,9,5,2,21,1,6,5,1,6,1,12,0,3,2,1,1,9,1,6,1,2,2,1,1,1,2,2,1,2,0,0,0,1,1,0,2,1,1,1,2,2,0,1,1,1,2,1,1,6,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1
konpaku_youmu,83,72,37,27,,83,50,34,34,25,433,56,36,56,263,89,28,26,3,25,14,21,6,15,19,7,28,19,41,25,12,1,7,6,5,14,33,3,9,4,16,0,8,1,1,5,11,6,9,19,29,15,9,10,0,5,9,2,0,1,0,6,10,1,6,1,3,1,30,1,10,2,3,22,14,17,11,6,9,14,0,1,1,2,1,4,0,0,5,43,10,4,6,2,1,5,0,0,9,1,9,1,5,2,4,5,1,7,1,2,7,1,14,1,14,0,5,2,1,1,4,0,12,1,1,2,1,1,1,2,1,1,1,0,0,0,1,1,0,2,1,1,1,8,1,0,1,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
izayoi_sakuya,280,255,226,42,83,,954,44,47,51,41,286,49,69,48,63,188,1614,3,20,21,32,6,39,21,4,26,30,27,33,26,3,6,9,7,25,32,2,6,2,30,0,12,1,2,3,21,8,14,30,25,24,11,11,0,5,145,1,1,1,1,4,19,2,11,1,4,2,26,1,17,2,4,28,20,23,13,8,10,20,1,1,2,5,2,4,0,0,8,9,10,5,8,2,1,3,0,0,11,1,11,1,7,4,10,7,2,6,1,3,7,1,7,2,36,0,3,2,1,1,6,1,7,2,2,2,1,1,1,2,1,2,2,1,0,1,1,1,0,2,1,1,1,3,1,0,1,1,1,2,1,1,5,0,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1
remilia_scarlet,221,144,631,52,50,954,,129,43,47,34,112,56,50,38,63,310,236,2,17,21,31,9,18,16,3,36,18,25,32,19,1,10,7,2,19,26,1,5,2,22,0,10,0,1,5,20,6,10,24,26,23,8,15,0,5,117,0,1,4,2,4,17,0,11,0,3,0,28,0,16,1,2,22,12,13,17,8,10,18,0,0,1,3,0,4,0,0,5,8,8,3,9,2,0,3,0,0,9,0,9,1,7,1,8,8,1,9,0,2,7,0,7,2,25,0,2,2,0,0,5,1,7,2,0,1,0,1,0,2,0,1,0,1,0,0,0,1,0,2,1,1,1,1,1,0,0,0,1,2,1,1,4,0,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1
komeiji_satori,64,54,47,498,34,44,129,,23,20,23,32,31,24,20,26,26,27,10,17,9,23,5,29,26,2,21,16,15,13,133,2,9,7,4,90,15,2,4,3,14,0,9,3,2,5,172,6,12,13,13,11,9,10,0,4,13,1,1,1,1,7,11,1,12,1,2,1,16,1,11,1,2,11,14,14,9,11,7,42,0,1,2,1,2,6,0,0,4,10,8,6,8,2,1,3,0,0,7,1,7,1,5,2,8,5,2,25,1,3,5,1,6,1,12,2,3,2,1,1,6,1,6,1,2,2,1,1,1,2,1,1,2,0,0,0,1,1,0,2,1,1,1,2,1,0,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
fujiwara_no_mokou,60,76,36,23,34,47,43,23,,42,26,44,28,24,89,46,32,31,3,20,13,23,4,20,17,6,16,28,25,559,16,3,6,7,5,21,76,2,10,1,23,0,19,3,2,3,23,7,7,987,32,97,8,18,1,3,9,2,1,1,1,3,14,1,7,1,2,2,55,2,29,2,2,19,10,17,9,7,7,21,1,32,2,6,1,8,1,0,4,6,9,3,6,1,1,2,0,1,9,2,9,0,5,3,9,5,2,6,1,2,5,1,6,1,14,0,3,1,1,1,4,1,6,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cirno,113,100,67,24,25,51,47,20,42,,22,50,108,32,22,34,37,34,3,18,63,52,13,31,13,2,31,17,18,14,23,2,3,5,1,13,19,2,5,4,21,0,13,1,6,7,19,4,5,36,43,44,8,18,0,5,24,1,1,5,1,3,324,1,6,1,3,1,25,1,55,3,2,18,13,14,19,13,18,11,0,2,3,5,1,5,0,0,2,8,32,3,10,2,1,3,0,0,13,1,12,1,16,6,8,13,2,10,1,3,21,1,7,2,18,0,3,2,1,7,4,1,6,1,1,2,1,1,1,2,2,1,1,0,0,0,2,1,0,3,1,1,1,2,1,0,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
saigyouji_yuyuko,58,43,22,16,433,41,34,23,26,22,,40,27,23,33,625,18,24,4,13,10,26,3,23,19,7,21,14,50,23,12,2,8,9,4,8,35,4,7,3,10,2,10,1,6,5,9,7,22,21,31,41,6,5,0,5,12,1,1,1,1,7,11,1,7,1,4,1,16,1,13,2,3,31,15,20,9,9,11,13,1,1,2,1,2,4,0,0,6,18,10,7,6,2,1,6,0,0,9,1,8,1,6,1,4,6,2,7,1,3,6,1,11,2,10,0,6,2,1,1,4,1,10,1,1,2,1,1,1,2,2,2,1,0,0,1,1,1,0,2,1,1,1,4,1,0,1,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
alice_margatroid,568,2369,74,27,56,286,112,32,44,50,40,,78,92,63,110,335,65,3,29,24,34,9,180,20,5,45,18,22,27,23,2,5,8,1,29,34,2,6,4,44,0,18,2,6,5,17,7,12,34,27,74,10,27,0,11,60,3,1,2,1,4,21,1,15,1,22,1,25,1,25,3,3,24,25,24,21,9,10,22,0,3,2,1,2,4,0,0,1,14,14,4,16,2,1,9,0,0,13,1,14,1,8,1,6,5,3,7,1,3,6,1,10,33,345,0,3,2,1,1,15,1,10,1,2,2,1,1,2,2,9,4,2,1,0,0,1,3,0,3,1,1,1,2,1,0,1,3,2,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
shameimaru_aya,297,122,31,28,36,49,56,31,28,108,27,78,,143,39,61,29,32,3,22,17,42,7,34,22,4,50,417,32,24,25,2,6,10,3,16,21,2,10,4,58,0,22,1,7,10,19,8,11,25,29,27,11,12,26,5,14,1,1,1,4,4,20,3,12,1,3,1,23,1,20,8,6,40,19,23,11,179,9,26,0,3,3,4,4,5,0,4,5,8,8,6,9,2,3,4,0,2,20,1,21,1,10,1,8,9,2,8,1,4,10,2,7,3,25,0,3,2,1,1,5,1,7,1,1,3,1,1,1,2,1,1,1,2,0,0,1,1,1,2,1,1,1,2,1,0,1,3,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
kochiya_sanae,500,159,26,21,56,69,50,24,24,32,23,92,143,,49,45,25,29,3,18,16,188,128,26,16,4,25,39,18,23,21,2,6,9,4,20,22,4,8,6,44,0,25,1,4,7,20,7,23,20,20,14,18,19,0,6,13,6,1,3,5,5,19,1,14,1,3,1,18,1,14,4,3,158,13,15,15,14,8,21,0,4,2,2,2,5,0,0,6,8,9,7,6,1,1,4,0,0,22,1,19,0,5,2,16,5,2,14,1,2,6,1,6,4,18,0,2,1,1,1,6,1,5,0,2,1,1,0,1,1,1,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reisen_udongein_inaba,56,51,25,20,263,48,38,20,89,22,33,63,39,49,,32,21,41,2,18,11,16,6,21,16,148,18,18,30,241,14,3,7,7,4,12,229,7,7,4,19,2,9,6,2,4,20,6,7,34,23,19,8,12,0,4,12,3,1,11,2,3,10,1,7,1,3,2,280,1,12,2,4,13,10,11,11,9,8,9,0,1,2,16,1,3,0,0,3,11,9,3,6,2,1,14,0,0,9,1,9,1,5,2,7,5,15,7,1,3,6,1,7,1,11,0,10,2,1,1,3,1,6,1,1,2,1,1,7,2,1,2,1,1,0,0,1,1,0,2,1,1,1,2,1,0,1,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
yakumo_yukari,868,144,32,23,89,63,63,26,46,34,625,110,61,45,32,,38,36,3,53,14,32,6,55,23,6,53,18,454,32,20,5,10,31,4,20,62,4,10,4,18,12,13,2,94,13,21,24,18,35,163,18,7,9,0,7,16,3,1,1,1,9,16,1,9,1,5,3,19,1,23,3,7,44,17,21,12,11,11,24,0,27,2,2,4,5,0,0,8,18,13,5,10,3,1,6,4,0,13,1,11,1,8,2,10,6,2,10,1,3,7,4,13,2,17,0,5,2,1,1,4,1,11,1,1,2,4,1,1,2,2,1,1,0,0,0,1,1,1,2,2,1,1,3,1,0,1,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
patchouli_knowledge,114,403,145,23,28,188,310,26,32,37,18,335,29,25,21,38,,150,1,15,16,20,9,21,16,2,20,16,19,21,14,2,5,7,1,12,16,2,6,4,32,0,13,1,2,3,13,6,10,18,22,18,5,11,0,5,441,1,1,2,1,4,17,1,8,1,3,1,17,1,16,2,3,12,14,18,15,8,9,12,0,2,2,2,1,4,0,0,1,8,9,3,9,2,1,3,0,0,11,1,10,1,5,2,6,6,2,7,1,3,5,1,9,6,52,0,3,2,1,1,6,1,8,2,1,3,1,1,1,2,3,1,1,0,0,0,1,1,0,2,1,1,1,2,1,0,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
hong_meiling,60,72,191,24,26,1614,236,27,31,34,24,65,32,29,41,36,150,,2,19,17,20,6,32,15,2,17,18,18,20,13,3,6,7,5,17,20,2,6,4,18,0,10,1,2,4,18,6,9,24,19,17,7,11,0,4,98,1,1,1,1,4,18,1,6,1,3,2,17,2,11,2,3,21,15,19,10,8,9,26,0,1,2,3,1,5,0,0,4,7,9,6,7,2,1,3,0,0,8,1,8,1,6,3,13,6,2,7,1,3,6,1,7,1,10,0,3,2,1,1,4,1,7,2,2,2,1,1,1,2,1,1,2,0,0,0,1,1,0,3,1,1,1,3,1,0,1,1,1,2,1,1,4,0,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1
hata_no_kokoro,14,5,5,128,3,3,2,10,3,3,4,3,3,3,2,3,1,2,,4,2,1,5,1,2,1,2,1,1,3,2,1,30,1,1,2,2,1,1,5,3,0,1,1,2,4,2,1,20,2,1,1,5,5,0,2,1,2,0,1,0,3,1,1,3,1,0,1,1,1,2,2,4,1,2,1,3,1,1,2,0,1,1,2,1,8,0,0,1,1,1,2,0,0,3,1,0,0,1,3,1,0,1,3,6,1,1,1,1,3,2,1,1,1,1,0,1,0,1,1,7,0,1,0,3,1,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hinanawi_tenshi,44,25,12,14,25,20,17,17,20,18,13,29,22,18,18,53,15,19,4,,9,12,6,32,10,3,21,17,13,11,19,48,3,5,3,12,13,2,4,4,13,1,17,2,2,6,21,4,10,14,18,11,6,13,0,5,11,1,1,2,1,3,12,1,7,1,2,4,11,1,17,1,2,10,127,12,7,10,8,10,0,1,3,1,1,3,0,0,7,8,7,3,8,2,1,10,0,0,8,1,8,1,7,1,6,7,2,8,1,3,8,1,7,2,11,0,5,2,1,1,5,1,7,1,1,2,1,1,1,2,2,1,1,0,0,0,2,1,0,2,1,1,1,2,1,0,2,1,1,2,1,1,5,0,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1
rumia,40,27,38,8,14,21,21,9,13,63,10,24,17,16,11,14,16,17,2,9,,12,11,14,7,1,17,12,9,8,10,1,2,4,1,8,12,1,5,5,11,0,8,1,1,2,8,4,4,15,11,94,5,8,0,3,17,1,0,1,0,2,25,1,5,1,2,1,10,1,46,2,2,9,11,9,7,5,8,7,0,1,1,2,2,3,0,0,2,8,8,2,8,2,1,3,0,0,8,1,9,1,9,3,4,5,1,9,1,2,7,1,6,1,10,0,3,2,1,1,4,0,6,1,1,3,1,1,1,2,1,1,1,0,0,0,1,1,0,2,1,1,1,2,1,0,1,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moriya_suwako,54,45,26,17,21,32,31,23,23,52,26,34,42,188,16,32,20,20,1,12,12,,10,18,14,4,26,27,15,19,16,3,4,7,3,12,16,3,5,2,34,0,22,1,2,4,16,6,7,18,29,16,13,11,0,5,11,1,1,1,1,4,19,1,9,1,3,2,19,1,13,2,2,357,13,14,11,9,8,17,0,3,2,1,1,3,0,0,4,8,7,4,9,2,1,3,0,0,26,1,24,1,10,1,7,9,2,8,1,3,10,1,7,2,11,0,3,2,1,1,5,1,6,1,1,2,1,1,1,2,1,1,1,0,0,0,1,1,0,2,1,1,1,3,1,0,1,1,1,2,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tatara_kogasa,28,16,12,14,6,6,9,5,4,13,3,9,7,128,6,6,9,6,5,6,11,10,,10,3,2,8,4,8,4,7,1,7,4,2,6,4,2,6,8,5,0,5,1,1,4,5,4,22,6,6,10,74,37,0,1,8,1,0,2,0,5,9,32,20,1,1,2,3,1,7,2,11,5,3,3,4,6,3,5,0,1,1,4,2,7,0,2,4,3,4,13,1,1,3,2,0,0,4,1,4,1,4,5,23,2,1,7,1,17,2,1,3,1,2,0,2,1,1,1,38,0,3,1,1,3,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kazami_yuuka,71,63,29,16,15,39,18,29,20,31,23,180,34,26,21,55,21,32,1,32,14,18,10,,19,2,16,21,15,12,20,2,2,6,3,14,18,3,8,2,17,0,21,1,2,3,20,5,9,20,21,24,4,18,0,10,11,1,1,2,1,3,20,1,7,1,4,1,12,1,234,2,2,16,14,25,12,7,14,11,0,1,2,5,1,2,0,0,2,7,20,4,22,2,3,4,0,0,17,1,19,4,8,3,5,8,2,12,1,3,8,1,7,4,30,0,3,3,1,1,5,1,6,1,1,2,1,1,1,3,1,3,1,0,0,0,1,1,0,19,1,4,1,2,1,0,1,1,1,2,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
shiki_eiki,25,26,16,14,19,21,16,26,17,13,19,20,22,16,16,23,16,15,2,10,7,14,3,19,,3,11,8,14,13,14,3,4,6,3,11,11,3,9,2,12,1,9,1,2,6,15,5,49,15,14,12,6,7,0,6,8,2,1,3,1,7,9,1,6,1,2,2,13,2,11,1,4,13,10,371,10,6,8,12,0,1,9,1,1,3,0,0,3,7,7,4,7,2,1,3,0,0,9,2,9,1,5,1,6,5,2,9,1,3,6,1,7,2,9,0,3,2,1,1,3,1,6,1,1,2,1,1,1,2,1,1,1,1,0,0,3,1,0,2,1,1,1,2,1,0,2,1,1,2,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
